zipcode,price,sqft_lot,lat,long,avg_income,total_pop,state
98027,597750.0,9624,47.5386,-122.053,156580.6170355466,14910,WA
98103,570000.0,3328,47.6823,-122.349,126559.61222477816,30430,WA
98038,272500.0,12600,47.3624,-122.031,109980.16119032858,16130,WA
98108,329950.0,5969,47.5474,-122.295,68213.53082465973,12490,WA
98001,480000.0,16171,47.3183,-122.253,76875.8559622196,16940,WA
98117,740500.0,6350,47.6981,-122.368,141307.04301075268,18600,WA
98103,518500.0,1102,47.6824,-122.347,126559.61222477816,30430,WA
98178,205425.0,6780,47.5009,-122.248,68004.76550680786,13220,WA
98168,171800.0,9600,47.4965,-122.303,54356.1190738699,18140,WA
98144,535000.0,2982,47.587,-122.294,109619.07340553548,16620,WA
98177,660000.0,6474,47.7728,-122.386,184445.60229445505,10460,WA
98034,391500.0,9132,47.7288,-122.226,123401.29716981133,25440,WA
98117,395000.0,6000,47.6999,-122.364,141307.04301075268,18600,WA
98118,445000.0,4400,47.5299,-122.266,82306.18225612205,24910,WA
98052,770000.0,10204,47.6897,-122.098,167832.9569093611,33650,WA
98004,1450000.0,17789,47.6141,-122.212,334922.6645435244,18840,WA
98178,445000.0,8201,47.5091,-122.244,68004.76550680786,13220,WA
98023,260000.0,8811,47.3129,-122.39,72238.51267137515,24070,WA
98103,822500.0,4960,47.6763,-122.352,126559.61222477816,30430,WA
98065,430000.0,4310,47.5319,-121.85,162574.9271137026,6860,WA
98092,212000.0,7875,47.2761,-122.152,82218.24655095683,22470,WA
98027,660500.0,9603,47.5343,-122.054,156580.6170355466,14910,WA
98052,784000.0,111078,47.697,-122.072,167832.9569093611,33650,WA
98029,453246.0,2287,47.5517,-121.998,169932.61834319527,13520,WA
98107,675000.0,2278,47.6734,-122.38,118844.46366782006,17340,WA
98003,199000.0,17390,47.3257,-122.296,57296.97102721686,22780,WA
98003,220000.0,7840,47.3309,-122.299,57296.97102721686,22780,WA
98028,452000.0,10002,47.7689,-122.266,119463.84615384616,11700,WA
98125,382500.0,4440,47.7135,-122.287,89057.8125,21760,WA
98107,519950.0,1249,47.6722,-122.381,118844.46366782006,17340,WA
98119,665000.0,3200,47.6338,-122.358,190293.7363437728,13730,WA
98006,527700.0,9375,47.5707,-122.128,195929.04411764705,19040,WA
98058,205000.0,8579,47.4563,-122.171,82944.60465116278,21500,WA
98133,420000.0,8097,47.7144,-122.351,77434.52474469757,25460,WA
98006,500000.0,8517,47.5495,-122.174,195929.04411764705,19040,WA
98077,921500.0,315374,47.7421,-122.026,228530.64516129033,6200,WA
98109,890000.0,4000,47.6354,-122.353,157746.25126646404,19740,WA
98027,430000.0,60984,47.5262,-121.943,156580.6170355466,14910,WA
98032,258000.0,12500,47.3887,-122.286,59395.632444696545,17630,WA
98103,511000.0,3455,47.6873,-122.336,126559.61222477816,30430,WA
98103,532170.0,3090,47.6838,-122.353,126559.61222477816,30430,WA
98107,560000.0,5000,47.655,-122.359,118844.46366782006,17340,WA
98003,282950.0,8200,47.3255,-122.304,57296.97102721686,22780,WA
98006,2250000.0,19850,47.562,-122.162,195929.04411764705,19040,WA
98115,350000.0,5100,47.679,-122.3,143828.72378243867,28130,WA
98058,215000.0,7669,47.4479,-122.176,82944.60465116278,21500,WA
98056,650000.0,25245,47.525,-122.172,96429.90444069702,17790,WA
98023,320000.0,7500,47.3135,-122.369,72238.51267137515,24070,WA
98022,247000.0,7198,47.2086,-121.996,85594.3294329433,11110,WA
98059,320000.0,11180,47.4715,-122.118,115617.237743806,18970,WA
98146,255000.0,8632,47.4877,-122.335,80281.9345661451,14060,WA
98034,438000.0,9660,47.7171,-122.193,123401.29716981133,25440,WA
98075,900000.0,16603,47.6012,-122.023,240569.3245778612,10660,WA
98034,441000.0,7280,47.7319,-122.224,123401.29716981133,25440,WA
98027,420000.0,38332,47.4582,-122.023,156580.6170355466,14910,WA
98034,370000.0,7000,47.7209,-122.168,123401.29716981133,25440,WA
98198,269950.0,7250,47.408,-122.327,68652.78372591006,18680,WA
98006,807100.0,4499,47.565,-122.125,195929.04411764705,19040,WA
98034,653000.0,9750,47.7028,-122.231,123401.29716981133,25440,WA
98133,371500.0,8336,47.7458,-122.331,77434.52474469757,25460,WA
98166,284000.0,21000,47.4776,-122.337,108241.8439716312,11280,WA
98023,272000.0,7140,47.3026,-122.374,72238.51267137515,24070,WA
98133,313000.0,7912,47.7658,-122.339,77434.52474469757,25460,WA
98033,917500.0,35003,47.6477,-122.182,246130.3803803804,19980,WA
98006,673000.0,8190,47.5619,-122.125,195929.04411764705,19040,WA
98122,425000.0,1100,47.6106,-122.31,114665.09046052632,24320,WA
98144,399950.0,5400,47.5868,-122.308,109619.07340553548,16620,WA
98122,385000.0,4800,47.6101,-122.307,114665.09046052632,24320,WA
98022,269950.0,7560,47.1976,-121.999,85594.3294329433,11110,WA
98177,330000.0,8220,47.7224,-122.358,184445.60229445505,10460,WA
98030,260000.0,5797,47.3505,-122.179,58244.88505747126,17400,WA
98126,470000.0,5125,47.5384,-122.376,103219.01944209637,11830,WA
98034,589000.0,9600,47.7044,-122.2,123401.29716981133,25440,WA
98038,163500.0,3419,47.3848,-122.039,109980.16119032858,16130,WA
98052,835000.0,13412,47.6993,-122.102,167832.9569093611,33650,WA
98033,1095000.0,12850,47.6627,-122.188,246130.3803803804,19980,WA
98023,269000.0,10000,47.3099,-122.379,72238.51267137515,24070,WA
98074,560000.0,8744,47.62,-122.043,236032.49211356463,12680,WA
98103,615000.0,2400,47.65,-122.34,126559.61222477816,30430,WA
98052,585188.0,10026,47.6647,-122.153,167832.9569093611,33650,WA
98034,305000.0,9480,47.726,-122.191,123401.29716981133,25440,WA
98058,166950.0,8820,47.4616,-122.184,82944.60465116278,21500,WA
98040,799000.0,9897,47.5505,-122.219,348292.80632411066,12650,WA
98133,400000.0,7508,47.7606,-122.336,77434.52474469757,25460,WA
98155,230000.0,10228,47.7481,-122.3,100578.83333333331,18000,WA
98023,256883.0,5025,47.2779,-122.347,72238.51267137515,24070,WA
98108,423000.0,6480,47.5511,-122.312,68213.53082465973,12490,WA
98126,465000.0,4084,47.5488,-122.372,103219.01944209637,11830,WA
98024,440000.0,66211,47.5385,-121.911,152393.75,2560,WA
98038,385000.0,155073,47.4058,-121.994,109980.16119032858,16130,WA
98056,210000.0,11725,47.5093,-122.184,96429.90444069702,17790,WA
98042,297000.0,14952,47.3777,-122.165,85926.3877028181,23420,WA
98107,470000.0,5000,47.675,-122.394,118844.46366782006,17340,WA
98023,226500.0,7370,47.3025,-122.37,72238.51267137515,24070,WA
98059,274250.0,8450,47.4787,-122.158,115617.237743806,18970,WA
98040,840000.0,11010,47.5378,-122.219,348292.80632411066,12650,WA
98052,677900.0,4587,47.7073,-122.114,167832.9569093611,33650,WA
98116,425000.0,5864,47.5733,-122.381,134899.4215938303,15560,WA
98166,180250.0,9600,47.4604,-122.339,108241.8439716312,11280,WA
98133,464000.0,3404,47.7067,-122.343,77434.52474469757,25460,WA
98038,320000.0,7579,47.354,-122.047,109980.16119032858,16130,WA
98105,625504.0,1566,47.6647,-122.284,167435.148792813,17810,WA
98074,592500.0,12032,47.6143,-122.017,236032.49211356463,12680,WA
98001,465000.0,17936,47.3185,-122.275,76875.8559622196,16940,WA
98118,477000.0,6270,47.5458,-122.268,82306.18225612205,24910,WA
98168,280000.0,16400,47.4889,-122.299,54356.1190738699,18140,WA
98040,1505000.0,33474,47.5673,-122.21,348292.80632411066,12650,WA
98146,445838.0,5692,47.5133,-122.379,80281.9345661451,14060,WA
98144,1072000.0,14864,47.5884,-122.291,109619.07340553548,16620,WA
98177,467000.0,10800,47.7145,-122.367,184445.60229445505,10460,WA
98075,686000.0,6440,47.5836,-122.026,240569.3245778612,10660,WA
98198,279950.0,9750,47.398,-122.299,68652.78372591006,18680,WA
98011,527000.0,19436,47.7663,-122.215,111194.55782312925,13230,WA
98030,325000.0,16020,47.3758,-122.217,58244.88505747126,17400,WA
98038,328000.0,8379,47.3828,-122.023,109980.16119032858,16130,WA
98146,390000.0,7500,47.5123,-122.373,80281.9345661451,14060,WA
98053,479950.0,6516,47.7076,-122.013,207522.1335992024,10030,WA
98023,264950.0,9753,47.2922,-122.371,72238.51267137515,24070,WA
98031,235000.0,15246,47.4075,-122.214,66077.30182176268,20310,WA
98053,516500.0,4729,47.6794,-122.034,207522.1335992024,10030,WA
98166,655000.0,15798,47.4497,-122.375,108241.8439716312,11280,WA
98059,500000.0,15347,47.5218,-122.164,115617.237743806,18970,WA
98023,315000.0,7350,47.3103,-122.339,72238.51267137515,24070,WA
98024,213000.0,10200,47.5687,-121.899,152393.75,2560,WA
98108,475000.0,5280,47.5575,-122.303,68213.53082465973,12490,WA
98033,1025000.0,28040,47.6489,-122.183,246130.3803803804,19980,WA
98010,416000.0,94300,47.3459,-121.95,113159.4982078853,2790,WA
98122,410000.0,4740,47.6136,-122.303,114665.09046052632,24320,WA
98077,800000.0,221284,47.7641,-122.023,228530.64516129033,6200,WA
98003,472000.0,14034,47.3376,-122.324,57296.97102721686,22780,WA
98003,225000.0,8505,47.3173,-122.319,57296.97102721686,22780,WA
98126,210000.0,6000,47.5308,-122.376,103219.01944209637,11830,WA
98115,455000.0,5000,47.6727,-122.299,143828.72378243867,28130,WA
98002,225000.0,8316,47.3221,-122.216,50171.24925283921,16730,WA
98103,480000.0,3060,47.6779,-122.353,126559.61222477816,30430,WA
98023,363000.0,11872,47.3076,-122.395,72238.51267137515,24070,WA
98074,2400000.0,8354,47.6338,-122.072,236032.49211356463,12680,WA
98106,181000.0,5120,47.5218,-122.357,73720.44241037375,13110,WA
98002,250000.0,7312,47.2785,-122.213,50171.24925283921,16730,WA
98103,481000.0,3000,47.6846,-122.345,126559.61222477816,30430,WA
98032,260000.0,7209,47.3656,-122.278,59395.632444696545,17630,WA
98058,455000.0,7685,47.4369,-122.111,82944.60465116278,21500,WA
98045,415000.0,36224,47.4616,-121.711,128982.49678249678,7770,WA
98118,349500.0,3538,47.5405,-122.27,82306.18225612205,24910,WA
98030,245000.0,7442,47.3507,-122.178,58244.88505747126,17400,WA
98115,592500.0,9191,47.6979,-122.32,143828.72378243867,28130,WA
98106,385000.0,7620,47.5278,-122.345,73720.44241037375,13110,WA
98059,315000.0,11455,47.4756,-122.147,115617.237743806,18970,WA
98045,255000.0,10170,47.4437,-121.772,128982.49678249678,7770,WA
98052,693000.0,4425,47.7048,-122.109,167832.9569093611,33650,WA
98112,780000.0,4400,47.6362,-122.302,331925.1974723539,12660,WA
98198,237000.0,8470,47.4207,-122.29,68652.78372591006,18680,WA
98074,525000.0,40510,47.6154,-122.047,236032.49211356463,12680,WA
98144,425000.0,5040,47.5964,-122.299,109619.07340553548,16620,WA
98070,369900.0,10079,47.4683,-122.438,115425.5009107468,5490,WA
98031,290000.0,7280,47.4045,-122.171,66077.30182176268,20310,WA
98106,285000.0,10701,47.5544,-122.358,73720.44241037375,13110,WA
98115,415000.0,4500,47.6802,-122.29,143828.72378243867,28130,WA
98023,272500.0,9900,47.2988,-122.371,72238.51267137515,24070,WA
98004,2900000.0,20100,47.6312,-122.223,334922.6645435244,18840,WA
98077,1365000.0,57346,47.7285,-122.042,228530.64516129033,6200,WA
98133,436000.0,7538,47.7107,-122.352,77434.52474469757,25460,WA
98003,210000.0,11390,47.3271,-122.323,57296.97102721686,22780,WA
98178,236000.0,5898,47.5053,-122.255,68004.76550680786,13220,WA
98199,331000.0,1306,47.6601,-122.4,195778.45884413313,11420,WA
98031,365000.0,4510,47.4145,-122.166,66077.30182176268,20310,WA
98058,450000.0,16258,47.4672,-122.165,82944.60465116278,21500,WA
98028,770000.0,26300,47.7618,-122.261,119463.84615384616,11700,WA
98038,455000.0,49375,47.3828,-122.071,109980.16119032858,16130,WA
98118,405000.0,6000,47.5362,-122.268,82306.18225612205,24910,WA
98031,304900.0,11325,47.3954,-122.206,66077.30182176268,20310,WA
98178,170000.0,5265,47.5048,-122.272,68004.76550680786,13220,WA
98122,2050000.0,8480,47.6166,-122.287,114665.09046052632,24320,WA
98053,780000.0,7048,47.6811,-122.025,207522.1335992024,10030,WA
98028,330000.0,13959,47.7486,-122.23,119463.84615384616,11700,WA
98030,370000.0,8666,47.3846,-122.169,58244.88505747126,17400,WA
98072,467000.0,13500,47.7564,-122.144,161856.97211155377,12550,WA
98034,405000.0,6720,47.7198,-122.193,123401.29716981133,25440,WA
98006,675000.0,10300,47.5461,-122.151,195929.04411764705,19040,WA
98006,500000.0,14100,47.5712,-122.143,195929.04411764705,19040,WA
98166,389999.0,15770,47.4281,-122.343,108241.8439716312,11280,WA
98034,630000.0,9025,47.7128,-122.223,123401.29716981133,25440,WA
98001,360000.0,9528,47.3341,-122.255,76875.8559622196,16940,WA
98056,580000.0,11060,47.5399,-122.181,96429.90444069702,17790,WA
98126,550000.0,4166,47.5717,-122.375,103219.01944209637,11830,WA
98075,879000.0,22111,47.5951,-122.017,240569.3245778612,10660,WA
98042,265000.0,8959,47.3536,-122.144,85926.3877028181,23420,WA
98059,446500.0,7286,47.5084,-122.154,115617.237743806,18970,WA
98108,404000.0,8880,47.5586,-122.311,68213.53082465973,12490,WA
98188,267500.0,11914,47.4427,-122.274,55292.0763022744,13630,WA
98074,3075000.0,18641,47.6053,-122.077,236032.49211356463,12680,WA
98003,335000.0,7632,47.3494,-122.301,57296.97102721686,22780,WA
98117,576000.0,9000,47.6933,-122.393,141307.04301075268,18600,WA
98038,208633.0,3810,47.3537,-122.0,109980.16119032858,16130,WA
98166,315000.0,8750,47.476,-122.337,108241.8439716312,11280,WA
98112,725000.0,3300,47.6239,-122.298,331925.1974723539,12660,WA
98177,550000.0,7750,47.7776,-122.384,184445.60229445505,10460,WA
98074,610750.0,7297,47.6459,-122.058,236032.49211356463,12680,WA
98105,550700.0,5000,47.6692,-122.297,167435.148792813,17810,WA
98056,665000.0,10574,47.5376,-122.18,96429.90444069702,17790,WA
98144,834000.0,4000,47.601,-122.294,109619.07340553548,16620,WA
98065,201000.0,78408,47.529,-121.837,162574.9271137026,6860,WA
98119,2384000.0,9050,47.6345,-122.367,190293.7363437728,13730,WA
98006,1384000.0,12103,47.5503,-122.102,195929.04411764705,19040,WA
98006,1400000.0,12103,47.5503,-122.102,195929.04411764705,19040,WA
98058,305000.0,7700,47.4441,-122.125,82944.60465116278,21500,WA
98133,487000.0,14052,47.7357,-122.333,77434.52474469757,25460,WA
98042,390000.0,64904,47.346,-122.157,85926.3877028181,23420,WA
98103,548000.0,3864,47.6638,-122.345,126559.61222477816,30430,WA
98166,268750.0,8775,47.48,-122.336,108241.8439716312,11280,WA
98052,819900.0,7119,47.6759,-122.151,167832.9569093611,33650,WA
98027,520000.0,16200,47.5162,-122.057,156580.6170355466,14910,WA
98001,230000.0,11204,47.2639,-122.252,76875.8559622196,16940,WA
98023,240000.0,10248,47.2929,-122.371,72238.51267137515,24070,WA
98146,232000.0,12092,47.4957,-122.352,80281.9345661451,14060,WA
98146,240500.0,12092,47.4957,-122.352,80281.9345661451,14060,WA
98077,274975.0,45004,47.7721,-122.093,228530.64516129033,6200,WA
98102,740000.0,4400,47.644,-122.319,153812.87655050206,16930,WA
98166,186375.0,7636,47.472,-122.344,108241.8439716312,11280,WA
98005,790000.0,10289,47.592,-122.166,190921.91510365249,10130,WA
98105,880000.0,6750,47.669,-122.275,167435.148792813,17810,WA
98198,279000.0,11180,47.42,-122.323,68652.78372591006,18680,WA
98022,295000.0,10530,47.1913,-122.012,85594.3294329433,11110,WA
98103,640000.0,5000,47.6666,-122.331,126559.61222477816,30430,WA
98040,940000.0,9525,47.5639,-122.217,348292.80632411066,12650,WA
98038,260000.0,5238,47.3483,-122.052,109980.16119032858,16130,WA
98072,559900.0,5569,47.7648,-122.164,161856.97211155377,12550,WA
98103,791500.0,3500,47.6794,-122.357,126559.61222477816,30430,WA
98133,265000.0,8250,47.7535,-122.354,77434.52474469757,25460,WA
98178,245000.0,11547,47.4945,-122.22,68004.76550680786,13220,WA
98052,485000.0,43995,47.6945,-122.093,167832.9569093611,33650,WA
98059,684000.0,8414,47.5222,-122.157,115617.237743806,18970,WA
98125,425000.0,6840,47.7222,-122.32,89057.8125,21760,WA
98070,309600.0,20000,47.3796,-122.49,115425.5009107468,5490,WA
98065,552250.0,5823,47.5374,-121.875,162574.9271137026,6860,WA
98178,165000.0,7134,47.4897,-122.24,68004.76550680786,13220,WA
98178,239900.0,7134,47.4897,-122.24,68004.76550680786,13220,WA
98059,320000.0,32633,47.4716,-122.078,115617.237743806,18970,WA
98030,206600.0,13464,47.3581,-122.173,58244.88505747126,17400,WA
98155,387000.0,7690,47.7713,-122.307,100578.83333333331,18000,WA
98014,299000.0,12120,47.675,-121.854,130497.25274725274,3640,WA
98040,855000.0,10460,47.5603,-122.222,348292.80632411066,12650,WA
98166,315000.0,14400,47.4147,-122.337,108241.8439716312,11280,WA
98103,437500.0,3120,47.68,-122.353,126559.61222477816,30430,WA
98001,252000.0,19800,47.3117,-122.27,76875.8559622196,16940,WA
98118,375000.0,7475,47.543,-122.28,82306.18225612205,24910,WA
98038,300000.0,4862,47.3607,-122.034,109980.16119032858,16130,WA
98006,420000.0,9600,47.5759,-122.137,195929.04411764705,19040,WA
98033,900000.0,77972,47.6891,-122.159,246130.3803803804,19980,WA
98116,679900.0,5750,47.565,-122.381,134899.4215938303,15560,WA
98053,463000.0,29970,47.6359,-121.974,207522.1335992024,10030,WA
98059,380000.0,11340,47.4769,-122.141,115617.237743806,18970,WA
98038,329500.0,7912,47.3845,-122.029,109980.16119032858,16130,WA
98033,604950.0,5608,47.6743,-122.184,246130.3803803804,19980,WA
98006,795000.0,9570,47.5651,-122.164,195929.04411764705,19040,WA
98045,465000.0,40438,47.4853,-121.709,128982.49678249678,7770,WA
98166,673000.0,10400,47.4508,-122.359,108241.8439716312,11280,WA
98074,810000.0,15420,47.6375,-122.016,236032.49211356463,12680,WA
98075,785000.0,69415,47.5944,-122.042,240569.3245778612,10660,WA
98056,338000.0,7500,47.4888,-122.182,96429.90444069702,17790,WA
98056,280000.0,7222,47.5112,-122.19,96429.90444069702,17790,WA
98133,315000.0,10754,47.7711,-122.341,77434.52474469757,25460,WA
98133,530000.0,10754,47.7711,-122.341,77434.52474469757,25460,WA
98023,380000.0,9914,47.2813,-122.345,72238.51267137515,24070,WA
98056,297000.0,7562,47.5038,-122.189,96429.90444069702,17790,WA
98075,730000.0,7331,47.5823,-121.97,240569.3245778612,10660,WA
98125,450000.0,13500,47.7164,-122.304,89057.8125,21760,WA
98038,275000.0,7750,47.3624,-122.045,109980.16119032858,16130,WA
98115,595000.0,2849,47.6831,-122.329,143828.72378243867,28130,WA
98144,435000.0,3348,47.592,-122.307,109619.07340553548,16620,WA
98011,270000.0,209959,47.7461,-122.195,111194.55782312925,13230,WA
98077,950000.0,14338,47.7268,-122.06,228530.64516129033,6200,WA
98019,389000.0,5337,47.7237,-121.959,131883.04195804195,5720,WA
98052,560000.0,7800,47.6283,-122.095,167832.9569093611,33650,WA
98006,1350000.0,14984,47.5543,-122.148,195929.04411764705,19040,WA
98040,799000.0,11585,47.5483,-122.226,348292.80632411066,12650,WA
98072,365500.0,9600,47.7591,-122.146,161856.97211155377,12550,WA
98058,252350.0,7352,47.4612,-122.169,82944.60465116278,21500,WA
98146,403950.0,13780,47.4987,-122.365,80281.9345661451,14060,WA
98177,385000.0,10726,47.772,-122.358,184445.60229445505,10460,WA
98106,345000.0,7620,47.5287,-122.35,73720.44241037375,13110,WA
98008,490000.0,3128,47.6109,-122.114,156355.4321966693,12610,WA
98019,330000.0,26977,47.7736,-121.901,131883.04195804195,5720,WA
98004,927000.0,12090,47.6294,-122.218,334922.6645435244,18840,WA
98040,1118000.0,16619,47.5634,-122.213,348292.80632411066,12650,WA
98028,330000.0,10000,47.7405,-122.241,119463.84615384616,11700,WA
98008,530000.0,8800,47.5976,-122.118,156355.4321966693,12610,WA
98006,365000.0,25600,47.5722,-122.129,195929.04411764705,19040,WA
98118,378750.0,3000,47.5644,-122.289,82306.18225612205,24910,WA
